runtime,solution cost,instance name
0.119,970,instances/empty-16-16/empty-16-16-random-80-agents-54.scen
0.028,965,instances/empty-16-16/empty-16-16-random-80-agents-55.scen
0.033,959,instances/empty-16-16/empty-16-16-random-80-agents-56.scen
0.022,896,instances/empty-16-16/empty-16-16-random-80-agents-57.scen
0.025,933,instances/empty-16-16/empty-16-16-random-80-agents-58.scen
0.02,918,instances/empty-16-16/empty-16-16-random-80-agents-59.scen
0.029,983,instances/empty-16-16/empty-16-16-random-80-agents-60.scen
0.037,948,instances/empty-16-16/empty-16-16-random-80-agents-61.scen
0.042,1027,instances/empty-16-16/empty-16-16-random-80-agents-62.scen
0.289,1012,instances/empty-16-16/empty-16-16-random-80-agents-63.scen
0.039,938,instances/empty-16-16/empty-16-16-random-80-agents-64.scen
0.059,972,instances/empty-16-16/empty-16-16-random-80-agents-65.scen
0.049,933,instances/empty-16-16/empty-16-16-random-80-agents-66.scen
0.033,982,instances/empty-16-16/empty-16-16-random-80-agents-67.scen
0.048,942,instances/empty-16-16/empty-16-16-random-80-agents-68.scen
0.097,1034,instances/empty-16-16/empty-16-16-random-80-agents-69.scen
0.032,959,instances/empty-16-16/empty-16-16-random-80-agents-70.scen
0.032,936,instances/empty-16-16/empty-16-16-random-80-agents-71.scen
0.076,946,instances/empty-16-16/empty-16-16-random-80-agents-72.scen
0.049,926,instances/empty-16-16/empty-16-16-random-80-agents-73.scen
0.037,997,instances/empty-16-16/empty-16-16-random-80-agents-74.scen
0.066,945,instances/empty-16-16/empty-16-16-random-80-agents-75.scen
0.023,919,instances/empty-16-16/empty-16-16-random-80-agents-76.scen
0.072,944,instances/empty-16-16/empty-16-16-random-80-agents-77.scen
0.048,911,instances/empty-16-16/empty-16-16-random-80-agents-78.scen
0.05,954,instances/empty-16-16/empty-16-16-random-80-agents-79.scen
0.041,1014,instances/empty-16-16/empty-16-16-random-80-agents-80.scen
0.043,918,instances/empty-16-16/empty-16-16-random-80-agents-81.scen
0.028,902,instances/empty-16-16/empty-16-16-random-80-agents-82.scen
0.03,985,instances/empty-16-16/empty-16-16-random-80-agents-83.scen
0.054,899,instances/empty-16-16/empty-16-16-random-80-agents-84.scen
0.071,1012,instances/empty-16-16/empty-16-16-random-80-agents-85.scen
0.118,985,instances/empty-16-16/empty-16-16-random-80-agents-86.scen
0.035,927,instances/empty-16-16/empty-16-16-random-80-agents-87.scen
0.197,946,instances/empty-16-16/empty-16-16-random-80-agents-88.scen
0.023,949,instances/empty-16-16/empty-16-16-random-80-agents-89.scen
0.049,976,instances/empty-16-16/empty-16-16-random-80-agents-90.scen
0.033,943,instances/empty-16-16/empty-16-16-random-80-agents-91.scen
0.04,997,instances/empty-16-16/empty-16-16-random-80-agents-92.scen
0.07,923,instances/empty-16-16/empty-16-16-random-80-agents-93.scen
0.053,1050,instances/empty-16-16/empty-16-16-random-80-agents-94.scen
0.066,941,instances/empty-16-16/empty-16-16-random-80-agents-95.scen
0.041,931,instances/empty-16-16/empty-16-16-random-80-agents-96.scen
0.118,993,instances/empty-16-16/empty-16-16-random-80-agents-97.scen
0.029,895,instances/empty-16-16/empty-16-16-random-80-agents-98.scen
0.027,943,instances/empty-16-16/empty-16-16-random-80-agents-99.scen
0.038,977,instances/empty-16-16/empty-16-16-random-80-agents-100.scen
