runtime,solution cost,solver name,instance name
0.068,734,WDG+R+C+T+BP with AStar,instances/empty-16-16/empty-16-16-random-60-agents-42.scen
0.035,767,WDG+R+C+T+BP with AStar,instances/empty-16-16/empty-16-16-random-60-agents-43.scen
0.044,791,WDG+R+C+T+BP with AStar,instances/empty-16-16/empty-16-16-random-60-agents-44.scen
0.032,741,WDG+R+C+T+BP with AStar,instances/empty-16-16/empty-16-16-random-60-agents-45.scen
0.03,713,WDG+R+C+T+BP with AStar,instances/empty-16-16/empty-16-16-random-60-agents-46.scen
0.031,721,WDG+R+C+T+BP with AStar,instances/empty-16-16/empty-16-16-random-60-agents-47.scen
0.02,690,WDG+R+C+T+BP with AStar,instances/empty-16-16/empty-16-16-random-60-agents-48.scen
0.04,715,WDG+R+C+T+BP with AStar,instances/empty-16-16/empty-16-16-random-60-agents-49.scen
0.028,705,WDG+R+C+T+BP with AStar,instances/empty-16-16/empty-16-16-random-60-agents-50.scen
0.026,723,WDG+R+C+T+BP with AStar,instances/empty-16-16/empty-16-16-random-60-agents-51.scen
0.027,753,WDG+R+C+T+BP with AStar,instances/empty-16-16/empty-16-16-random-60-agents-52.scen
0.039,735,WDG+R+C+T+BP with AStar,instances/empty-16-16/empty-16-16-random-60-agents-53.scen
0.027,760,WDG+R+C+T+BP with AStar,instances/empty-16-16/empty-16-16-random-60-agents-54.scen
0.02,717,WDG+R+C+T+BP with AStar,instances/empty-16-16/empty-16-16-random-60-agents-55.scen
0.027,736,WDG+R+C+T+BP with AStar,instances/empty-16-16/empty-16-16-random-60-agents-56.scen
0.02,667,WDG+R+C+T+BP with AStar,instances/empty-16-16/empty-16-16-random-60-agents-57.scen
0.023,719,WDG+R+C+T+BP with AStar,instances/empty-16-16/empty-16-16-random-60-agents-58.scen
0.02,718,WDG+R+C+T+BP with AStar,instances/empty-16-16/empty-16-16-random-60-agents-59.scen
0.041,765,WDG+R+C+T+BP with AStar,instances/empty-16-16/empty-16-16-random-60-agents-60.scen
0.019,754,WDG+R+C+T+BP with AStar,instances/empty-16-16/empty-16-16-random-60-agents-61.scen
0.024,758,WDG+R+C+T+BP with AStar,instances/empty-16-16/empty-16-16-random-60-agents-62.scen
0.073,737,WDG+R+C+T+BP with AStar,instances/empty-16-16/empty-16-16-random-60-agents-63.scen
1.078,728,WDG+R+C+T+BP with AStar,instances/empty-16-16/empty-16-16-random-60-agents-64.scen
0.04,784,WDG+R+C+T+BP with AStar,instances/empty-16-16/empty-16-16-random-60-agents-65.scen
0.032,734,WDG+R+C+T+BP with AStar,instances/empty-16-16/empty-16-16-random-60-agents-66.scen
0.024,768,WDG+R+C+T+BP with AStar,instances/empty-16-16/empty-16-16-random-60-agents-67.scen
0.075,776,WDG+R+C+T+BP with AStar,instances/empty-16-16/empty-16-16-random-60-agents-68.scen
0.078,771,WDG+R+C+T+BP with AStar,instances/empty-16-16/empty-16-16-random-60-agents-69.scen
0.028,794,WDG+R+C+T+BP with AStar,instances/empty-16-16/empty-16-16-random-60-agents-70.scen
