runtime,solution cost,solver name,instance name
0.007,452,WDG+R+C+T+BP with AStar,instances/empty-16-16/empty-16-16-random-40-agents-84.scen
0.013,536,WDG+R+C+T+BP with AStar,instances/empty-16-16/empty-16-16-random-40-agents-85.scen
0.014,474,WDG+R+C+T+BP with AStar,instances/empty-16-16/empty-16-16-random-40-agents-86.scen
0.014,462,WDG+R+C+T+BP with AStar,instances/empty-16-16/empty-16-16-random-40-agents-87.scen
0.019,499,WDG+R+C+T+BP with AStar,instances/empty-16-16/empty-16-16-random-40-agents-88.scen
0.007,458,WDG+R+C+T+BP with AStar,instances/empty-16-16/empty-16-16-random-40-agents-89.scen
0.009,489,WDG+R+C+T+BP with AStar,instances/empty-16-16/empty-16-16-random-40-agents-90.scen
0.007,445,WDG+R+C+T+BP with AStar,instances/empty-16-16/empty-16-16-random-40-agents-91.scen
0.012,481,WDG+R+C+T+BP with AStar,instances/empty-16-16/empty-16-16-random-40-agents-92.scen
0.005,476,WDG+R+C+T+BP with AStar,instances/empty-16-16/empty-16-16-random-40-agents-93.scen
0.007,541,WDG+R+C+T+BP with AStar,instances/empty-16-16/empty-16-16-random-40-agents-94.scen
0.008,481,WDG+R+C+T+BP with AStar,instances/empty-16-16/empty-16-16-random-40-agents-95.scen
0.005,429,WDG+R+C+T+BP with AStar,instances/empty-16-16/empty-16-16-random-40-agents-96.scen
0.008,505,WDG+R+C+T+BP with AStar,instances/empty-16-16/empty-16-16-random-40-agents-97.scen
0.01,513,WDG+R+C+T+BP with AStar,instances/empty-16-16/empty-16-16-random-40-agents-98.scen
0.01,464,WDG+R+C+T+BP with AStar,instances/empty-16-16/empty-16-16-random-40-agents-99.scen
0.007,477,WDG+R+C+T+BP with AStar,instances/empty-16-16/empty-16-16-random-40-agents-100.scen
0.019,693,WDG+R+C+T+BP with AStar,instances/empty-16-16/empty-16-16-random-60-agents-1.scen
0.024,739,WDG+R+C+T+BP with AStar,instances/empty-16-16/empty-16-16-random-60-agents-2.scen
0.02,738,WDG+R+C+T+BP with AStar,instances/empty-16-16/empty-16-16-random-60-agents-3.scen
0.017,739,WDG+R+C+T+BP with AStar,instances/empty-16-16/empty-16-16-random-60-agents-4.scen
0.02,791,WDG+R+C+T+BP with AStar,instances/empty-16-16/empty-16-16-random-60-agents-5.scen
0.022,801,WDG+R+C+T+BP with AStar,instances/empty-16-16/empty-16-16-random-60-agents-6.scen
0.03,695,WDG+R+C+T+BP with AStar,instances/empty-16-16/empty-16-16-random-60-agents-7.scen
0.019,723,WDG+R+C+T+BP with AStar,instances/empty-16-16/empty-16-16-random-60-agents-8.scen
0.023,710,WDG+R+C+T+BP with AStar,instances/empty-16-16/empty-16-16-random-60-agents-9.scen
0.024,740,WDG+R+C+T+BP with AStar,instances/empty-16-16/empty-16-16-random-60-agents-10.scen
0.02,734,WDG+R+C+T+BP with AStar,instances/empty-16-16/empty-16-16-random-60-agents-11.scen
0.042,756,WDG+R+C+T+BP with AStar,instances/empty-16-16/empty-16-16-random-60-agents-12.scen
0.024,780,WDG+R+C+T+BP with AStar,instances/empty-16-16/empty-16-16-random-60-agents-13.scen
0.027,694,WDG+R+C+T+BP with AStar,instances/empty-16-16/empty-16-16-random-60-agents-14.scen
0.04,796,WDG+R+C+T+BP with AStar,instances/empty-16-16/empty-16-16-random-60-agents-15.scen
0.02,700,WDG+R+C+T+BP with AStar,instances/empty-16-16/empty-16-16-random-60-agents-16.scen
0.031,761,WDG+R+C+T+BP with AStar,instances/empty-16-16/empty-16-16-random-60-agents-17.scen
0.094,729,WDG+R+C+T+BP with AStar,instances/empty-16-16/empty-16-16-random-60-agents-18.scen
0.031,761,WDG+R+C+T+BP with AStar,instances/empty-16-16/empty-16-16-random-60-agents-19.scen
0.145,744,WDG+R+C+T+BP with AStar,instances/empty-16-16/empty-16-16-random-60-agents-20.scen
0.022,720,WDG+R+C+T+BP with AStar,instances/empty-16-16/empty-16-16-random-60-agents-21.scen
0.027,726,WDG+R+C+T+BP with AStar,instances/empty-16-16/empty-16-16-random-60-agents-22.scen
0.016,674,WDG+R+C+T+BP with AStar,instances/empty-16-16/empty-16-16-random-60-agents-23.scen
0.038,769,WDG+R+C+T+BP with AStar,instances/empty-16-16/empty-16-16-random-60-agents-24.scen
0.03,741,WDG+R+C+T+BP with AStar,instances/empty-16-16/empty-16-16-random-60-agents-25.scen
0.074,708,WDG+R+C+T+BP with AStar,instances/empty-16-16/empty-16-16-random-60-agents-26.scen
0.037,733,WDG+R+C+T+BP with AStar,instances/empty-16-16/empty-16-16-random-60-agents-27.scen
0.03,743,WDG+R+C+T+BP with AStar,instances/empty-16-16/empty-16-16-random-60-agents-28.scen
0.023,677,WDG+R+C+T+BP with AStar,instances/empty-16-16/empty-16-16-random-60-agents-29.scen
0.028,711,WDG+R+C+T+BP with AStar,instances/empty-16-16/empty-16-16-random-60-agents-30.scen
0.023,723,WDG+R+C+T+BP with AStar,instances/empty-16-16/empty-16-16-random-60-agents-31.scen
0.038,688,WDG+R+C+T+BP with AStar,instances/empty-16-16/empty-16-16-random-60-agents-32.scen
0.017,749,WDG+R+C+T+BP with AStar,instances/empty-16-16/empty-16-16-random-60-agents-33.scen
0.018,685,WDG+R+C+T+BP with AStar,instances/empty-16-16/empty-16-16-random-60-agents-34.scen
0.022,705,WDG+R+C+T+BP with AStar,instances/empty-16-16/empty-16-16-random-60-agents-35.scen
0.044,719,WDG+R+C+T+BP with AStar,instances/empty-16-16/empty-16-16-random-60-agents-36.scen
0.024,694,WDG+R+C+T+BP with AStar,instances/empty-16-16/empty-16-16-random-60-agents-37.scen
0.025,792,WDG+R+C+T+BP with AStar,instances/empty-16-16/empty-16-16-random-60-agents-38.scen
0.279,734,WDG+R+C+T+BP with AStar,instances/empty-16-16/empty-16-16-random-60-agents-39.scen
0.023,811,WDG+R+C+T+BP with AStar,instances/empty-16-16/empty-16-16-random-60-agents-40.scen
0.013,706,WDG+R+C+T+BP with AStar,instances/empty-16-16/empty-16-16-random-60-agents-41.scen
0.361,715,WDG+R+C+T+BP with AStar,instances/empty-16-16/empty-16-16-random-60-agents-42.scen
0.04,760,WDG+R+C+T+BP with AStar,instances/empty-16-16/empty-16-16-random-60-agents-43.scen
0.027,788,WDG+R+C+T+BP with AStar,instances/empty-16-16/empty-16-16-random-60-agents-44.scen
0.138,729,WDG+R+C+T+BP with AStar,instances/empty-16-16/empty-16-16-random-60-agents-45.scen
0.024,697,WDG+R+C+T+BP with AStar,instances/empty-16-16/empty-16-16-random-60-agents-46.scen
0.026,696,WDG+R+C+T+BP with AStar,instances/empty-16-16/empty-16-16-random-60-agents-47.scen
0.018,714,WDG+R+C+T+BP with AStar,instances/empty-16-16/empty-16-16-random-60-agents-48.scen
0.022,704,WDG+R+C+T+BP with AStar,instances/empty-16-16/empty-16-16-random-60-agents-49.scen
0.02,712,WDG+R+C+T+BP with AStar,instances/empty-16-16/empty-16-16-random-60-agents-50.scen
0.044,728,WDG+R+C+T+BP with AStar,instances/empty-16-16/empty-16-16-random-60-agents-51.scen
0.02,749,WDG+R+C+T+BP with AStar,instances/empty-16-16/empty-16-16-random-60-agents-52.scen
0.023,739,WDG+R+C+T+BP with AStar,instances/empty-16-16/empty-16-16-random-60-agents-53.scen
0.026,754,WDG+R+C+T+BP with AStar,instances/empty-16-16/empty-16-16-random-60-agents-54.scen
0.018,706,WDG+R+C+T+BP with AStar,instances/empty-16-16/empty-16-16-random-60-agents-55.scen
0.028,732,WDG+R+C+T+BP with AStar,instances/empty-16-16/empty-16-16-random-60-agents-56.scen
0.015,666,WDG+R+C+T+BP with AStar,instances/empty-16-16/empty-16-16-random-60-agents-57.scen
0.021,719,WDG+R+C+T+BP with AStar,instances/empty-16-16/empty-16-16-random-60-agents-58.scen
0.03,713,WDG+R+C+T+BP with AStar,instances/empty-16-16/empty-16-16-random-60-agents-59.scen
0.036,756,WDG+R+C+T+BP with AStar,instances/empty-16-16/empty-16-16-random-60-agents-60.scen
0.022,757,WDG+R+C+T+BP with AStar,instances/empty-16-16/empty-16-16-random-60-agents-61.scen
0.034,756,WDG+R+C+T+BP with AStar,instances/empty-16-16/empty-16-16-random-60-agents-62.scen
0.081,736,WDG+R+C+T+BP with AStar,instances/empty-16-16/empty-16-16-random-60-agents-63.scen
7.568,725,WDG+R+C+T+BP with AStar,instances/empty-16-16/empty-16-16-random-60-agents-64.scen
0.022,748,WDG+R+C+T+BP with AStar,instances/empty-16-16/empty-16-16-random-60-agents-65.scen
0.025,729,WDG+R+C+T+BP with AStar,instances/empty-16-16/empty-16-16-random-60-agents-66.scen
0.022,775,WDG+R+C+T+BP with AStar,instances/empty-16-16/empty-16-16-random-60-agents-67.scen
